car_name,Kms_driven,fuel_type,Transmission,Ownership,Manufacture,Engine_cc,Seats,car_prices_in_rupee,Price_in_rupees
Hyundai i20 1.4 Magna Executive,65392,Diesel,Manual,1,2017,1396,5,6 Lakh,600000
Mercedes-Benz CLA 200 CGI Sport,37000,Petrol,Automatic,1,2018,1991,5,27 Lakh,2700000
Maruti XL6 Zeta,9000,Petrol,Manual,1,2020,1462,6,10.90 Lakh,1090000
Hyundai Grand i10 1.2 Kappa Sportz Option AT,32000,Petrol,Automatic,1,2017,1197,5,5.90 Lakh,590000
Mahindra XUV500 W8 2WD,68000,Diesel,Manual,1,2012,2179,7,6.50 Lakh,650000
Hyundai i20 Magna 1.2,13000,Petrol,Manual,1,2017,1197,5,6.75 Lakh,675000
Datsun RediGO AMT 1.0 T Option,30000,Petrol,Automatic,1,2020,999,5,3.70 Lakh,370000
Honda Brio VX AT,34300,Petrol,Automatic,1,2015,1198,5,5.25 Lakh,525000
Honda City i VTEC CVT SV,45000,Petrol,Automatic,1,2015,1497,5,7.25 Lakh,725000
Toyota Corolla Altis GL MT,37000,Petrol,Manual,1,2014,1798,5,8.50 Lakh,850000
Jeep Compass 1.4 Sport,50000,Petrol,Manual,1,2018,1368,5,14 Lakh,1400000
Volvo XC60 D4 Summum,105241,Diesel,Automatic,1,2015,1985,5,15 Lakh,1500000
Toyota Corolla Altis 1.8 G,54000,Petrol,Manual,1,2019,1798,5,13.90 Lakh,1390000
Hyundai Verna VTVT 1.6 SX,19600,Petrol,Manual,1,2019,1591,5,8.90 Lakh,890000
Audi A4 2.0 TDI Technology Edition,48000,Diesel,Automatic,1,2015,1968,5,16.90 Lakh,1690000
Audi Q3 2.0 TDI,69500,Diesel,Automatic,1,2012,1968,5,13.90 Lakh,1390000
BMW 5 Series 530d,71000,Diesel,Automatic,2,2012,2993,5,15 Lakh,1500000
Porsche Cayenne S Diesel,48894,Diesel,Automatic,1,2014,4134,5,45 Lakh,4500000
Maruti A-Star Zxi,46257,Petrol,Manual,3,2008,998,5,1.53 Lakh,153000
Ford Ecosport 1.5 DV5 MT Titanium,78264,Diesel,Manual,2,2015,1498,5,5.09 Lakh,509000
Honda Jazz 1.2 S AT i VTEC,42451,Petrol,Automatic,1,2016,1199,5,5.46 Lakh,546000
Volkswagen Vento Diesel Highline,131861,Diesel,Manual,2,2012,1598,5,2.73 Lakh,273000
Maruti Wagon R VXI BS IV,128004,Petrol,Manual,2,2012,998,5,1.80 Lakh,180000
Chevrolet Beat Diesel PS,150349,Diesel,Manual,1,2012,936,5,1.10 Lakh,110000
Maruti Wagon R VXI BS IV,29033,Petrol,Manual,1,2017,998,5,3.69 Lakh,369000
BMW 3 Series 320d Luxury Line,99000,Diesel,Automatic,1,2015,1995,5,13.50 Lakh,1350000
Renault KWID RXL,47000,Petrol,Manual,1,2018,799,5,2.75 Lakh,275000
Maruti Baleno 1.3 Sigma,35000,Diesel,Manual,1,2018,1248,5,5.50 Lakh,550000
Mercedes-Benz C-Class C 220 CDI BE COR,58000,Diesel,Automatic,1,2013,2143,5,9.75 Lakh,975000
Honda City S,48000,Petrol,Manual,1,2012,1497,5,4 Lakh,400000
Honda Amaze VX AT i-Vtech,45000,Petrol,Automatic,1,2014,1198,5,4.75 Lakh,475000
Hyundai EON D Lite,60000,Petrol,Manual,2,2012,814,5,1.90 Lakh,190000
Hyundai i20 Magna Optional 1.2,23000,Petrol,Manual,1,2014,1197,5,4.65 Lakh,465000
Hyundai Grand i10 1.2 Kappa Era,45000,Petrol,Manual,1,2019,1197,5,4.60 Lakh,460000
Hyundai i10 Magna 1.1L,45000,Petrol,Manual,1,2014,1086,5,3.25 Lakh,325000
Maruti Ertiga VDI,58000,Diesel,Manual,1,2013,1248,7,5.25 Lakh,525000
Hyundai i20 1.2 Spotz,48000,Petrol,Manual,1,2018,1197,5,6.25 Lakh,625000
BMW 2 Series 220i M Sport,18000,Petrol,Automatic,1,2021,1998,5,40 Lakh,4000000
Skoda Kushaq 1.0 TSI Style 6 Airbags AT,16000,Petrol,Automatic,1,2022,999,5,16.75 Lakh,1675000
Honda City i-VTEC VX,24000,Petrol,Manual,1,2019,1497,5,10 Lakh,1000000
MG Hector Plus Select Diesel MT 7 STR,36000,Diesel,Manual,1,2021,1956,7,17.90 Lakh,1790000
Jeep Compass 1.4 Limited Plus,35000,Petrol,Automatic,2,2019,1368,5,13.90 Lakh,1390000
Honda Amaze E Petrol BSIV,64000,Petrol,Manual,1,2019,1199,5,6.10 Lakh,610000
Maruti Vitara Brezza VDi,72000,Diesel,Manual,1,2017,1248,5,7.75 Lakh,775000
Hyundai Grand i10 Magna,29900,Petrol,Manual,1,2015,1197,5,4.60 Lakh,460000
Mahindra XUV700 AX5 Diesel AT,20000,Diesel,Automatic,1,2022,2198,5,20.91 Lakh,2091000
Tata Indigo VX BSIV,160000,Diesel,Manual,1,2013,1396,5,3.10 Lakh,310000
Tata Tiago XZ Plus,16000,Petrol,Manual,1,2020,1199,5,5.65 Lakh,565000
Honda WR-V i-VTEC VX,17000,Petrol,Manual,1,2019,1199,5,9 Lakh,900000
Lexus NX 300h,111000,Petrol,Automatic,1,2018,2499,5,42 Lakh,4200000
Mercedes-Benz M-Class ML 250 CDI,38000,Diesel,Automatic,2,2015,2143,5,28.50 Lakh,2850000
Honda Jazz 1.5 SV i DTEC,32000,Diesel,Manual,1,2015,1498,5,5.50 Lakh,550000
Volkswagen Polo 1.2 MPI Comfortline,67000,Petrol,Manual,1,2015,1198,5,4.50 Lakh,450000
Ford Ecosport 1.5 Petrol Titanium AT,50000,Petrol,Automatic,1,2016,1496,5,6.75 Lakh,675000
Maruti Swift VDI BSIV,110000,Diesel,Manual,2,2010,1248,5,1.80 Lakh,180000
Hyundai Verna VTVT 1.6 AT EX,51000,Petrol,Automatic,1,2017,1591,5,7.75 Lakh,775000
Hyundai Grand i10 1.2 CRDi Sportz,83000,Diesel,Manual,1,2017,1186,5,5.50 Lakh,550000
Audi Q3 35 TDI Quattro Premium,38000,Diesel,Automatic,1,2016,1968,5,24 Lakh,2400000
Hyundai Creta 1.6 SX Automatic Diesel,58000,Diesel,Automatic,1,2018,1582,5,13.25 Lakh,1325000
Hyundai Creta 1.6 SX,36000,Petrol,Manual,1,2018,1591,5,11 Lakh,1100000
Volkswagen Vento 1.0 TSI Highline AT,23500,Petrol,Automatic,1,2020,999,5,10.50 Lakh,1050000
Hyundai i20 1.2 Magna Executive,60000,Petrol,Manual,1,2017,1197,5,6.50 Lakh,650000
Skoda Superb LK 1.8 TSI AT,18000,Petrol,Automatic,1,2018,1798,5,25 Lakh,2500000
Honda Amaze V Petrol BSIV,36500,Petrol,Manual,1,2017,1199,5,6 Lakh,600000
Skoda Superb Sportline,25000,Petrol,Automatic,1,2021,1984,5,31 Lakh,3100000
Kia Seltos HTX IVT,20500,Petrol,Automatic,1,2020,1497,5,15.75 Lakh,1575000
Honda Amaze S i-Vtech,30000,Petrol,Manual,1,2015,1198,5,4.50 Lakh,450000
Hyundai i20 Magna 1.2,59000,Petrol,Manual,1,2017,1197,5,5.90 Lakh,590000
BMW X1 sDrive 20d xLine,80000,Diesel,Automatic,1,2014,1995,5,14.50 Lakh,1450000
Hyundai Xcent 1.2 CRDi E Plus,50000,Diesel,Manual,2,2017,1186,5,3.80 Lakh,380000
Tata Harrier XZAS Plus Kaziranga Edition AT,32000,Diesel,Automatic,1,2021,1956,5,21 Lakh,2100000
Hyundai i10 Era 1.1 iTech SE,120000,Petrol,Manual,2,2012,1086,5,2.61 Lakh,261000
Land Rover Discovery 2.0 R-Dynamic HSE,33000,Petrol,Automatic,1,2021,1997,7,1.10 Crore,11000000
Mini 3 DOOR Cooper S,6900,Petrol,Automatic,1,2019,1998,4,42 Lakh,4200000
Tata Harrier XZA Plus Kaziranga Edition AT,4500,Diesel,Automatic,1,2022,1956,5,22.50 Lakh,2250000
Volvo S90 D4 Inscription BSIV,51000,Diesel,Automatic,1,2018,1969,5,42 Lakh,4200000
Kia Seltos GTX Plus AT D,12000,Diesel,Automatic,1,2022,1493,5,19.75 Lakh,1975000
Maruti Vitara Brezza ZDi Plus,37000,Diesel,Manual,1,2018,1248,5,9.50 Lakh,950000
Hyundai Verna SX Opt Diesel,35000,Diesel,Manual,1,2021,1493,5,14.51 Lakh,1451000
Maruti Wagon R VXI Optional,80000,Petrol,Manual,2,2016,998,5,3 Lakh,300000
Hyundai Grand i10 Magna,60000,Petrol,Manual,1,2016,1197,5,4.60 Lakh,460000
Honda Amaze VX CVT,10000,Petrol,Automatic,1,2022,1199,5,9.15 Lakh,915000
Maruti Ignis Zeta AMT,59385,Petrol,Automatic,1,2019,1197,5,5.50 Lakh,550000
Jaguar XF 3.0 Litre S Premium Luxury,51000,Diesel,Automatic,2,2012,2993,5,17 Lakh,1700000
Mahindra XUV500 AT W6 1.99 mHawk,74000,Diesel,Automatic,1,2017,1997,7,9.90 Lakh,990000
Tata Nexon 1.2 Revotron XMA,29000,Petrol,Automatic,1,2020,1198,5,8.51 Lakh,851000
Jeep Compass Model S 4X4 Diesel AT,12200,Diesel,Automatic,1,2021,1956,5,27.50 Lakh,2750000
Hyundai Grand i10 1.2 Kappa Sportz Option AT,40000,Petrol,Automatic,3,2019,1197,5,5.50 Lakh,550000
Hyundai Verna CRDi 1.6 SX,58000,Diesel,Manual,1,2018,1582,5,9.51 Lakh,951000
Toyota Innova Crysta 2.8 ZX AT BSIV,75000,Diesel,Automatic,2,2019,2755,7,19.90 Lakh,1990000
Land Rover Discovery Sport TD4 HSE 7S,72000,Diesel,Automatic,1,2018,1999,7,35.50 Lakh,3550000
Ford Aspire 1.2 Ti-VCT Titanium,23400,Petrol,Manual,1,2017,1196,5,5.50 Lakh,550000
Ford Aspire 1.2 Ti-VCT Ambiente,59300,Petrol,Manual,1,2017,1196,5,3.90 Lakh,390000
Hyundai Creta 1.4 CRDi S,72000,Diesel,Manual,1,2016,1396,5,8.90 Lakh,890000
Maruti Swift Dzire LDI,67000,Diesel,Manual,1,2017,1248,5,4.51 Lakh,451000
Honda Amaze S CVT i-VTEC,33500,Petrol,Automatic,1,2018,1199,5,7.25 Lakh,725000
Hyundai Creta SX Executive,17000,Petrol,Manual,2,2021,1497,5,12.75 Lakh,1275000
Volkswagen Ameo 1.5 TDI Highline AT,33000,Diesel,Automatic,1,2016,1498,5,6.90 Lakh,690000
Volkswagen Polo GT TSI,49000,Petrol,Automatic,1,2015,1197,5,6.75 Lakh,675000
Hyundai Grand i10 AT Asta,26000,Petrol,Automatic,1,2015,1197,5,5.65 Lakh,565000
Hyundai Venue SX Opt iMT,14500,Petrol,Manual,1,2020,998,5,10 Lakh,1000000
Kia Seltos GTX Plus AT D,10000,Diesel,Automatic,1,2022,1493,5,19.75 Lakh,1975000
MG Hector Plus Sharp DCT,15001,Petrol,Automatic,1,2020,1451,6,17 Lakh,1700000
Skoda Octavia Elegance 1.8 TSI AT,55000,Petrol,Automatic,2,2015,1798,5,9.75 Lakh,975000
Toyota Corolla Altis G,38000,Petrol,Manual,1,2013,1798,5,6.50 Lakh,650000
Ford Endeavour 4x4 XLT,110000,Diesel,Manual,2,2005,2953,7,4 Lakh,400000
Honda Amaze S AT i-Vtech,65413,Petrol,Automatic,1,2013,1198,5,4.75 Lakh,475000
Honda Jazz Mode,45000,Petrol,Manual,2,2009,1198,5,2.80 Lakh,280000
Ford Figo 1.2P Trend MT,44000,Petrol,Manual,1,2017,1196,5,4.30 Lakh,430000
Hyundai Grand i10 1.2 Kappa Magna BSIV,40000,Petrol,Manual,1,2017,1197,5,4.90 Lakh,490000
Ford Ecosport 1.5 Petrol Titanium AT,49000,Petrol,Automatic,1,2016,1496,5,6.51 Lakh,651000
Mahindra Thar LX 4-Str Hard Top Diesel AT,19000,Diesel,Automatic,1,2022,2184,4,17.51 Lakh,1751000
Hyundai i20 Magna Optional 1.4 CRDi,56000,Diesel,Manual,2,2013,1396,5,3.91 Lakh,391000
Honda City 1.5 V MT,65000,Petrol,Manual,2,2010,1497,5,3.75 Lakh,375000
Toyota Etios G,27680,Petrol,Manual,1,2013,1496,5,4.90 Lakh,490000
Kia Seltos GTX Plus AT D,27305,Diesel,Automatic,1,2021,1493,5,18.25 Lakh,1825000
BMW 3 Series 320d,10793,Diesel,Automatic,1,2019,1995,5,33 Lakh,3300000
BMW X3 xDrive 20d Luxury Line,12000,Diesel,Automatic,1,2020,1995,5,56 Lakh,5600000
MG Hector Sharp DCT,44000,Petrol,Automatic,1,2019,1451,5,14.99 Lakh,1499000
Kia Seltos HTK G,63000,Petrol,Manual,1,2020,1497,5,11.99 Lakh,1199000
Hyundai i20 Sportz Plus Diesel,87000,Diesel,Manual,1,2019,1396,5,6.50 Lakh,650000
Maruti Alto LXi,61000,Petrol,Manual,1,2010,796,5,1.90 Lakh,190000
Hyundai i20 Sportz Option 1.4 CRDi,72000,Diesel,Manual,1,2016,1396,5,6.25 Lakh,625000
Audi A4 2.0 TDI Multitronic,70000,Diesel,Automatic,1,2015,1968,5,16.51 Lakh,1651000
Nissan Micra Diesel XV,58000,Diesel,Manual,2,2012,1461,5,2.25 Lakh,225000
Honda Jazz Active,90000,Petrol,Manual,3,2009,1198,5,1.30 Lakh,130000
Honda City VX MT,19000,Petrol,Manual,1,2022,1497,5,12.50 Lakh,1250000
Toyota Corolla Altis G AT,72159,Petrol,Automatic,1,2014,1798,5,9.25 Lakh,925000
Ford Ecosport 1.5 DV5 MT Titanium,78000,Diesel,Manual,1,2015,1498,5,5.90 Lakh,590000
Ford Ecosport 1.5 Diesel Titanium BSIV,58000,Diesel,Manual,1,2018,1498,5,6.90 Lakh,690000
Ford Ecosport 1.5 Diesel Titanium Plus BSIV,72000,Diesel,Manual,1,2018,1498,5,8.90 Lakh,890000
Land Rover Range Rover Evoque 2.0 TD4 SE,56000,Diesel,Automatic,1,2018,1999,5,42.50 Lakh,4250000
Nissan Micra Diesel XV,73000,Diesel,Manual,1,2012,1461,5,2.90 Lakh,290000
Hyundai Creta 1.6 VTVT S,28840,Petrol,Manual,1,2016,1591,5,8.90 Lakh,890000
Maruti Swift Dzire AMT ZXI,51500,Petrol,Automatic,1,2019,1197,5,6.90 Lakh,690000
Maruti S-Presso VXI Plus AT 2019-2022,41370,Petrol,Automatic,1,2020,998,5,4.80 Lakh,480000
Hyundai Creta 1.6 VTVT S,41266,Petrol,Manual,1,2016,1591,5,8.75 Lakh,875000
Hyundai Verna VTVT 1.6 AT SX Option,31740,Petrol,Automatic,1,2018,1591,5,9.90 Lakh,990000
Maruti Ciaz VXi Plus,77876,Petrol,Manual,1,2015,1373,5,6.15 Lakh,615000
Skoda Kushaq 1.5 TSI Style,9500,Petrol,Manual,1,2022,1498,5,20.50 Lakh,2050000
Hyundai Grand i10 1.2 Kappa Sportz Option AT,28387,Petrol,Automatic,1,2019,1197,5,6.25 Lakh,625000
Mercedes-Benz M-Class ML 350 CDI,120000,Diesel,Automatic,2,2015,2987,5,27 Lakh,2700000
Hyundai Grand i10 Magna,20000,Petrol,Manual,2,2017,1197,5,4.50 Lakh,450000
Mercedes-Benz C-Class Progressive C 220d,30686,Diesel,Automatic,1,2020,1950,5,42.50 Lakh,4250000
Tata Indica eV2 DL BSIII,120000,Diesel,Manual,2,2013,1396,5,1 Lakh,100000
Mahindra Bolero Power Plus SLE,184000,Diesel,Manual,2,2018,1493,7,6 Lakh,600000
Honda City 1.5 S AT,40000,Petrol,Automatic,1,2009,1497,5,4 Lakh,400000
Maruti Ciaz Delta Diesel,55000,Diesel,Manual,1,2015,1248,5,6.25 Lakh,625000
Hyundai Grand i10 1.2 Kappa Sportz Option,38000,Petrol,Manual,1,2019,1197,5,5.75 Lakh,575000
Audi Q3 30 TFSI Premium FWD,40000,Petrol,Automatic,1,2017,1395,5,23.50 Lakh,2350000
Hyundai Santro GS zipDrive - Euro II,60000,Petrol,Manual,2,2006,999,5,1.35 Lakh,135000
Mahindra Bolero SLX,110000,Diesel,Manual,3,2009,2523,7,3 Lakh,300000
Maruti Swift LDI,143000,Diesel,Manual,2,2011,1248,5,2.10 Lakh,210000
Tata Indica Aqua 1.3 Quadrajet BSIV,110000,Diesel,Manual,3,2012,1248,5,1.25 Lakh,125000
Mahindra KUV 100 mFALCON D75 K4 Plus,58000,Diesel,Manual,1,2017,1198,6,4.75 Lakh,475000
Honda City i VTEC SV,65000,Petrol,Manual,2,2014,1497,5,5.50 Lakh,550000
Tata Harrier XZ Plus,50000,Diesel,Manual,1,2021,1956,5,17 Lakh,1700000
Tata Zest Revotron 1.2 XT,55000,Petrol,Manual,1,2015,1193,5,3.49 Lakh,349000
Land Rover Discovery Sport R-Dynamic SE Diesel,19500,Diesel,Automatic,1,2021,1999,7,70 Lakh,7000000
Mahindra XUV500 AT W10 FWD,78000,Diesel,Automatic,2,2016,2179,7,9.25 Lakh,925000
Honda City V MT,58000,Petrol,Manual,1,2010,1497,5,3.90 Lakh,390000
Mahindra XUV500 W10 2WD,91000,Diesel,Manual,1,2017,2179,7,10.25 Lakh,1025000
Mahindra XUV500 AT W10 1.99 mHawk,30000,Diesel,Automatic,1,2016,1997,7,11.25 Lakh,1125000
Maruti Baleno 1.2 Zeta,44153,Petrol,Manual,1,2018,1197,5,7.25 Lakh,725000
Mercedes-Benz C-Class C 250d Avantgarde Edition C,21000,Diesel,Automatic,1,2018,2143,5,34.50 Lakh,3450000
Kia Seltos HTX G,19000,Petrol,Manual,1,2020,1497,5,14 Lakh,1400000
Hyundai Alcazar Signature Diesel AT,27300,Diesel,Automatic,1,2021,1493,6,19.50 Lakh,1950000
Skoda Superb Laurin & klement,31001,Petrol,Automatic,1,2021,1984,5,34 Lakh,3400000
Renault KWID 1.0 RXT,50000,Petrol,Manual,1,2017,999,5,3.10 Lakh,310000
Maruti Wagon R LXI BSII,77000,Petrol,Manual,2,2005,998,5,1.30 Lakh,130000
Maruti Swift Dzire AMT VXI,53000,Petrol,Automatic,1,2018,1197,5,6.50 Lakh,650000
Datsun RediGO S,20000,Petrol,Manual,1,2017,799,5,2.75 Lakh,275000
Honda Brio S Option MT,72000,Petrol,Manual,1,2013,1198,5,3.50 Lakh,350000
Hyundai Creta 1.6 VTVT S,26000,Petrol,Manual,1,2016,1591,5,8.90 Lakh,890000
Honda Amaze S i-Dtech,66000,Diesel,Manual,1,2015,1498,5,4.25 Lakh,425000
Jaguar XF 2.2 Litre Luxury,69619,Diesel,Automatic,1,2014,2179,5,22 Lakh,2200000
Maruti Alto K10 VXI AMT,30000,Petrol,Automatic,1,2018,998,5,4.30 Lakh,430000
Maruti Wagon R LXI Minor,61000,Petrol,Manual,1,2009,1061,5,2.11 Lakh,211000
Renault Duster 110PS Diesel RxZ AMT,31000,Diesel,Automatic,1,2018,1461,5,9.75 Lakh,975000
Volkswagen Polo GT TSI,66000,Petrol,Automatic,1,2015,1197,5,6.25 Lakh,625000
Land Rover Discovery Sport R-Dynamic SE,7700,Petrol,Automatic,1,2021,1997,7,72 Lakh,7200000
Mahindra XUV700 AX3 AT,9000,Petrol,Automatic,1,2022,1999,5,17.50 Lakh,1750000
Tata Tigor 1.2 Revotron XT,60000,Petrol,Manual,2,2017,1199,5,3.40 Lakh,340000
Skoda Fabia 1.2 MPI Active,110000,Petrol,Manual,3,2009,1198,5,1.10 Lakh,110000
Kia Seltos HTX Plus AT D,51001,Diesel,Automatic,1,2020,1493,5,16.75 Lakh,1675000
Jeep Compass 2.0 Limited Plus AT,56207,Diesel,Automatic,1,2020,1956,5,21 Lakh,2100000
Mercedes-Benz GLA Class 200 d Sport,58000,Diesel,Automatic,1,2019,2143,5,26.90 Lakh,2690000
Hyundai i20 Diesel Sportz,73290,Diesel,Manual,1,2018,1396,5,6.50 Lakh,650000
Hyundai Verna 1.6 CRDi S,44283,Diesel,Manual,1,2017,1582,5,7.90 Lakh,790000
Maruti Celerio VXI AT,48000,Petrol,Automatic,1,2016,998,5,4.25 Lakh,425000
Honda City 1.5 S MT,107500,Petrol,Manual,3,2010,1497,5,3.40 Lakh,340000
Maruti Swift 1.3 LXI,80000,Petrol,Manual,3,2007,1298,5,"99,999",99999
Maruti SX4 Celebration Petrol,90000,Petrol,Manual,2,2009,1586,5,2 Lakh,200000
Maruti Vitara Brezza LXI,10000,Petrol,Manual,1,2021,1462,5,7.75 Lakh,775000
Maruti Wagon R LXI BS IV,120000,Petrol,Manual,1,2011,998,5,2.15 Lakh,215000
Maruti Wagon R LXI BS IV,120000,Petrol,Manual,1,2011,998,5,2.37 Lakh,237000
Maruti Zen LX,90000,Petrol,Manual,3,2002,993,5,"55,000",55000
Mahindra KUV 100 NXT G80 K2,46000,Petrol,Manual,1,2018,1198,6,4.25 Lakh,425000
Nissan Sunny XL D,28000,Diesel,Manual,1,2017,1461,5,5.75 Lakh,575000
Honda WR-V SV,24000,Petrol,Manual,1,2020,1199,5,8.25 Lakh,825000
Honda WR-V i-VTEC S,23000,Petrol,Manual,1,2018,1199,5,6.90 Lakh,690000
Honda WR-V i-VTEC VX,24300,Petrol,Manual,1,2018,1199,5,7.75 Lakh,775000
Honda WR-V i-VTEC VX,51000,Petrol,Manual,1,2019,1199,5,7.90 Lakh,790000
Kia Seltos GTX Plus DCT,6000,Petrol,Automatic,1,2020,1353,5,14.90 Lakh,1490000
Kia Seltos GTX Plus DCT,12600,Petrol,Automatic,1,2021,1353,5,17.25 Lakh,1725000
Jeep Meridian Limited Opt AT 4x4,3500,Diesel,Automatic,1,2022,1956,7,37 Lakh,3700000
Hyundai i10 Era,120000,Petrol,Manual,1,2011,1086,5,2.30 Lakh,230000
Hyundai Grand i10 Nios Sportz CNG,5000,Cng,Manual,1,2022,1197,5,7.50 Lakh,750000
Hyundai Santro Xing GLS,120000,Petrol,Manual,4,2010,1086,5,1.35 Lakh,135000
Honda Jazz V CVT,40000,Petrol,Automatic,1,2018,1199,5,6.95 Lakh,695000
Honda City i-VTEC V,96000,Petrol,Manual,1,2018,1497,5,7.85 Lakh,785000
Honda City 1.5 S MT,67000,Petrol,Manual,2,2010,1497,5,3.25 Lakh,325000
Honda City i-VTEC V,72000,Petrol,Manual,1,2018,1497,5,7.90 Lakh,790000
Hyundai i10 Magna,89000,Petrol,Manual,1,2013,1197,5,3.21 Lakh,321000
Volkswagen Polo Diesel Trendline 1.2L,64000,Diesel,Manual,1,2011,1199,5,3.30 Lakh,330000
Maruti Swift Vdi BSIII,120000,Diesel,Manual,3,2010,1248,5,2 Lakh,200000
Honda Jazz 1.2 SV i VTEC,42000,Petrol,Manual,1,2017,1199,5,5.40 Lakh,540000
Datsun RediGO T,55000,Petrol,Manual,1,2017,799,5,2.70 Lakh,270000
Hyundai Santro Era Executive BSIV,30000,Petrol,Manual,1,2019,1086,5,4.95 Lakh,495000
Tata Hexa XTA,86500,Diesel,Automatic,2,2017,2179,7,10 Lakh,1000000
